basin_id,year,expected_days,valid_days,valid_runoff_days,q_completeness,runoff_completeness
06441500,2002,365,259,259,0.7095890410958904,0.7095890410958904
06441500,2003,365,108,108,0.2958904109589041,0.2958904109589041
06441500,2004,366,227,227,0.6202185792349727,0.6202185792349727
06441500,2005,365,259,259,0.7095890410958904,0.7095890410958904
06441500,2006,365,263,263,0.7205479452054795,0.7205479452054795
06441500,2007,365,209,209,0.5726027397260274,0.5726027397260274
06441500,2008,366,210,210,0.5737704918032787,0.5737704918032787
06441500,2009,365,277,277,0.7589041095890411,0.7589041095890411
06441500,2010,365,109,109,0.29863013698630136,0.29863013698630136
06450500,1995,365,0,0,0.0,0.0
06450500,1996,366,0,0,0.0,0.0
06450500,1997,365,0,0,0.0,0.0
06450500,1998,365,0,0,0.0,0.0
06450500,1999,365,343,343,0.9397260273972603,0.9397260273972603
06450500,2000,366,345,345,0.9426229508196722,0.9426229508196722
06450500,2001,365,330,330,0.9041095890410958,0.9041095890410958
06450500,2002,365,359,359,0.9835616438356164,0.9835616438356164
06450500,2003,365,360,360,0.9863013698630136,0.9863013698630136
06450500,2004,366,346,346,0.9453551912568307,0.9453551912568307
06450500,2005,365,358,358,0.9808219178082191,0.9808219178082191
06450500,2006,365,361,361,0.989041095890411,0.989041095890411
06450500,2007,365,295,295,0.8082191780821918,0.8082191780821918
06450500,2008,366,147,147,0.4016393442622951,0.4016393442622951
06450500,2009,365,227,227,0.6219178082191781,0.6219178082191781
06450500,2010,365,228,228,0.6246575342465753,0.6246575342465753
06453600,1995,365,20,20,0.0547945205479452,0.0547945205479452
06453600,1996,366,1,1,0.00273224043715847,0.00273224043715847
06453600,1997,365,0,0,0.0,0.0
06453600,1998,365,0,0,0.0,0.0
06453600,1999,365,0,0,0.0,0.0
06453600,2000,366,0,0,0.0,0.0
06453600,2001,365,1,1,0.0027397260273972603,0.0027397260273972603
06453600,2002,365,0,0,0.0,0.0
06453600,2003,365,0,0,0.0,0.0
06453600,2004,366,0,0,0.0,0.0
06453600,2005,365,58,58,0.1589041095890411,0.1589041095890411
06453600,2006,365,297,297,0.8136986301369863,0.8136986301369863
06453600,2007,365,57,57,0.15616438356164383,0.15616438356164383
06453600,2008,366,82,82,0.22404371584699453,0.22404371584699453
06453600,2009,365,259,259,0.7095890410958904,0.7095890410958904
06453600,2010,365,187,187,0.5123287671232877,0.5123287671232877
06464500,1995,365,235,235,0.6438356164383562,0.6438356164383562
06464500,1996,366,231,231,0.6311475409836066,0.6311475409836066
06464500,1997,365,217,217,0.5945205479452055,0.5945205479452055
06464500,1998,365,244,244,0.6684931506849315,0.6684931506849315
06464500,1999,365,278,278,0.7616438356164383,0.7616438356164383
06464500,2000,366,253,253,0.6912568306010929,0.6912568306010929
06464500,2001,365,162,162,0.4438356164383562,0.4438356164383562
06464500,2002,365,157,157,0.4301369863013699,0.4301369863013699
06464500,2003,365,210,210,0.5753424657534246,0.5753424657534246
06464500,2004,366,253,253,0.6912568306010929,0.6912568306010929
06464500,2005,365,258,258,0.7068493150684931,0.7068493150684931
06464500,2006,365,228,228,0.6246575342465753,0.6246575342465753
06464500,2007,365,249,249,0.6821917808219178,0.6821917808219178
06464500,2008,366,244,244,0.6666666666666666,0.6666666666666666
06464500,2009,365,230,230,0.6301369863013698,0.6301369863013698
06464500,2010,365,246,246,0.673972602739726,0.673972602739726
06468170,1995,365,225,225,0.6164383561643836,0.6164383561643836
06468170,1996,366,195,195,0.5327868852459017,0.5327868852459017
06468170,1997,365,211,211,0.5780821917808219,0.5780821917808219
06468170,1998,365,254,254,0.6958904109589041,0.6958904109589041
06468170,1999,365,242,242,0.663013698630137,0.663013698630137
06468170,2000,366,243,243,0.6639344262295082,0.6639344262295082
06468170,2001,365,229,229,0.6273972602739726,0.6273972602739726
06468170,2002,365,230,230,0.6301369863013698,0.6301369863013698
06468170,2003,365,203,203,0.5561643835616439,0.5561643835616439
06468170,2004,366,237,237,0.6475409836065574,0.6475409836065574
06468170,2005,365,226,226,0.6191780821917808,0.6191780821917808
06468170,2006,365,114,114,0.31232876712328766,0.31232876712328766
06468170,2007,365,207,207,0.5671232876712329,0.5671232876712329
06468170,2008,366,180,180,0.4918032786885246,0.4918032786885246
06468170,2009,365,212,212,0.5808219178082191,0.5808219178082191
06468170,2010,365,229,229,0.6273972602739726,0.6273972602739726
06775500,1995,365,88,0,0.2410958904109589,0.0
06775500,1996,366,322,0,0.8797814207650273,0.0
06775500,1997,365,157,0,0.4301369863013699,0.0
06775500,1998,365,230,0,0.6301369863013698,0.0
06775500,1999,365,226,0,0.6191780821917808,0.0
06775500,2000,366,244,0,0.6666666666666666,0.0
06775500,2001,365,262,0,0.7178082191780822,0.0
06775500,2002,365,299,0,0.8191780821917808,0.0
06775500,2003,365,344,0,0.9424657534246575,0.0
06775500,2004,366,346,0,0.9453551912568307,0.0
06775500,2005,365,316,0,0.8657534246575342,0.0
06775500,2006,365,351,0,0.9616438356164384,0.0
06775500,2007,365,334,0,0.915068493150685,0.0
06775500,2008,366,307,0,0.8387978142076503,0.0
06775500,2009,365,311,0,0.852054794520548,0.0
06775500,2010,365,335,0,0.9178082191780822,0.0
07014500,1995,365,267,267,0.7315068493150685,0.7315068493150685
07014500,1996,366,294,294,0.8032786885245902,0.8032786885245902
07014500,1997,365,320,320,0.8767123287671232,0.8767123287671232
07014500,1998,365,325,325,0.8904109589041096,0.8904109589041096
07014500,1999,365,174,174,0.4767123287671233,0.4767123287671233
07014500,2000,366,326,326,0.8907103825136612,0.8907103825136612
07014500,2001,365,159,159,0.43561643835616437,0.43561643835616437
07014500,2002,365,217,217,0.5945205479452055,0.5945205479452055
07014500,2003,365,295,295,0.8082191780821918,0.8082191780821918
07014500,2004,366,288,288,0.7868852459016393,0.7868852459016393
07014500,2005,365,308,308,0.8438356164383561,0.8438356164383561
07014500,2006,365,291,291,0.7972602739726027,0.7972602739726027
07014500,2007,365,320,320,0.8767123287671232,0.8767123287671232
07014500,2008,366,351,351,0.9590163934426229,0.9590163934426229
07014500,2009,365,351,351,0.9616438356164384,0.9616438356164384
07014500,2010,365,360,360,0.9863013698630136,0.9863013698630136
07056000,1995,365,361,361,0.989041095890411,0.989041095890411
07056000,1996,366,357,357,0.9754098360655737,0.9754098360655737
07056000,1997,365,352,352,0.9643835616438357,0.9643835616438357
07056000,1998,365,353,353,0.9671232876712329,0.9671232876712329
07056000,1999,365,357,357,0.9780821917808219,0.9780821917808219
07056000,2000,366,360,360,0.9836065573770492,0.9836065573770492
07056000,2001,365,358,358,0.9808219178082191,0.9808219178082191
07056000,2002,365,357,357,0.9780821917808219,0.9780821917808219
07056000,2003,365,334,334,0.915068493150685,0.915068493150685
07056000,2004,366,308,308,0.8415300546448088,0.8415300546448088
07056000,2005,365,303,303,0.8301369863013699,0.8301369863013699
07056000,2006,365,286,286,0.7835616438356164,0.7835616438356164
07056000,2007,365,330,330,0.9041095890410958,0.9041095890410958
07056000,2008,366,349,349,0.953551912568306,0.953551912568306
07056000,2009,365,356,356,0.9753424657534246,0.9753424657534246
07056000,2010,365,361,361,0.989041095890411,0.989041095890411
07067000,1995,365,52,52,0.14246575342465753,0.14246575342465753
07067000,1996,366,231,231,0.6311475409836066,0.6311475409836066
07067000,1997,365,357,357,0.9780821917808219,0.9780821917808219
07067000,1998,365,356,356,0.9753424657534246,0.9753424657534246
